date,email,company,step
2026-09-18,sales@cervion.com,Cervion Systems,1
2026-09-18,info@dineamics.com,DINEamics Restaurant POS,1
2026-09-18,bizdev@waze.com,US Foods Systems,1
2026-09-18,customerservice@ssgourmet.com,S & S Gourmet Distributors,1
2026-09-18,adunaway@experiencescottsdale.com,Southern Glazer's Wine & Spirits,1
2026-09-18,aflink@visitphoenix.com,Hensley Beverage Company,1
2026-09-18,info@beveragetradenetwork.com,Young's Market Company,1
2026-09-18,info@actionwine.com,Action Wine & Spirits,1
2026-09-18,info@ciacoverage.com,Contractors Insurance Agency,1
2026-09-21,info@brubakerlinens.com,Brubaker Linens,1
2026-09-21,inquiries@corelinen.com,CORE Linen Services,1
2026-09-21,info@sundevilhoods.com,Sun Devil Hood & Exhaust Cleaning,1
2026-09-21,kitchen.guard@kitchenguard.com,Kitchen Guard of Phoenix,1
2026-09-21,hood@hoodhero.com,Hood Hero,1
2026-09-21,info@standardrestaurant.com,Standard Restaurant Supply Phoenix,1
2026-09-21,info@standardrestaurant.com,Standard Restaurant Supply Mesa,1
2026-09-21,sales@premierphx.com,Premier Restaurant Supply and Service,1
2026-09-21,info@myalida.com,Alida Restaurant Supply,1
2026-09-21,info@platinumrefrigeration.com,Platinum Refrigeration,1
2026-09-22,support@adamsrefrig.com,Adams Refrigeration,1
2026-09-22,info@trigonstaff.com,Trigon Staff Administrators,1
2026-09-22,info@pay-tech.com,PayTech,1
2026-09-22,info@gnapartners.com,G&A Partners Phoenix,1
2026-09-22,info@totalemployersolutions.com,Total Employer Solutions,1
2026-09-22,info@associatedsign.com,Associated Sign Company,1
2026-09-22,info@davis-signs.com,Davis Signs & Graphics,1
2026-09-22,sales@budgetsignsaz.com,Budget Signs,1
2026-09-22,info@azcustomsignworks.com,Arizona Custom Signworks,1
2026-09-22,info@epicsigns.com,Epic Signs,1
